        #height (Mm)       gravity (cm/s^2)          dP/dz                         density (g/cm^3)        dRho/dz                sound speed (cm/s)
        -19.12500000     -28967.60546875     -7.76090240E+01      2.68216454E-03     -2.65843727E-12        5.403204E+06
        -19.10000038     -28965.47070312     -7.73905029E+01      2.67552235E-03     -2.65568123E-12        5.398714E+06
        -19.07500076     -28963.33789062     -7.71638565E+01      2.66888621E-03     -2.65189411E-12        5.394222E+06
        -19.04999924     -28961.20312500     -7.69253540E+01      2.66226288E-03     -2.64810591E-12        5.389731E+06
        -19.02499962     -28959.07031250     -7.67237396E+01      2.65564560E-03     -2.64557603E-12        5.385236E+06
        -19.00000000     -28956.93554688     -7.65658722E+01      2.64903484E-03     -2.64454821E-12        5.380738E+06
        -18.97500038     -28954.80273438     -7.63999557E+01      2.64242291E-03     -2.64323936E-12        5.376236E+06
        -18.95000076     -28952.66992188     -7.62336044E+01      2.63581867E-03     -2.64191186E-12        5.371728E+06
        -18.92499924     -28950.53906250     -7.60418625E+01      2.62921350E-03     -2.64055704E-12        5.367216E+06
        -18.89999962     -28948.40625000     -7.58053284E+01      2.62261601E-03     -2.63693234E-12        5.362702E+06
        -18.87500000     -28946.27539062     -7.56026077E+01      2.61602877E-03     -2.63330308E-12        5.358188E+06
        -18.85000038     -28944.14257812     -7.53923874E+01      2.60944944E-03     -2.63041325E-12        5.353672E+06
        -18.82500076     -28942.01171875     -7.52027512E+01      2.60287663E-03     -2.62825569E-12        5.349154E+06
        -18.79999924     -28939.88085938     -7.49669724E+01      2.59630824E-03     -2.62459455E-12        5.344636E+06
        -18.77499962     -28937.75000000     -7.47547989E+01      2.58975383E-03     -2.62142651E-12        5.340116E+06
        -18.75000000     -28935.61914062     -7.46077194E+01      2.58320104E-03     -2.62070574E-12        5.335594E+06
        -18.72500038     -28933.48828125     -7.44389572E+01      2.57665012E-03     -2.61921995E-12        5.331067E+06
        -18.70000076     -28931.35742188     -7.42836533E+01      2.57010502E-03     -2.61820426E-12        5.326536E+06
        -18.67499924     -28929.22656250     -7.41159821E+01      2.56355922E-03     -2.61691450E-12        5.322002E+06
        -18.64999962     -28927.09570312     -7.38967667E+01      2.55702040E-03     -2.61365365E-12        5.317465E+06
        -18.62500000     -28924.96679688     -7.36221085E+01      2.55049090E-03     -2.60819578E-12        5.312929E+06
